,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,year,Arson
15,Florence,26682.0,24.0,1.0,0.0,2.0,21.0,198.0,29.0,168.0,1.0,2013,0.0
17,Gilbert,225232.0,193.0,1.0,14.0,47.0,131.0,3472.0,647.0,2672.0,153.0,2013,22.0
18,Glendale,234006.0,905.0,13.0,49.0,335.0,508.0,13626.0,2410.0,10166.0,1050.0,2013,60.0
20,Goodyear,71048.0,94.0,4.0,16.0,20.0,54.0,1716.0,433.0,1201.0,82.0,2013,31.0
25,Kingman,28400.0,128.0,1.0,11.0,19.0,97.0,1621.0,398.0,1159.0,64.0,2013,2.0
26,Lake Havasu City,52891.0,87.0,1.0,17.0,11.0,58.0,1252.0,285.0,899.0,68.0,2013,6.0
28,Marana,37469.0,37.0,1.0,4.0,10.0,22.0,1056.0,134.0,882.0,40.0,2013,4.0
30,Mesa,456155.0,1807.0,22.0,203.0,478.0,1104.0,12916.0,2357.0,9607.0,952.0,2013,124.0
32,Nogales,20736.0,39.0,0.0,0.0,5.0,34.0,523.0,94.0,372.0,57.0,2013,0.0
34,Paradise Valley,13286.0,13.0,0.0,1.0,0.0,12.0,215.0,63.0,146.0,6.0,2013,1.0
35,Payson,15192.0,56.0,1.0,4.0,3.0,48.0,483.0,94.0,368.0,21.0,2013,0.0
36,Peoria,161641.0,254.0,4.0,16.0,59.0,175.0,3830.0,717.0,2906.0,207.0,2013,7.0
37,Phoenix,1502139.0,9492.0,118.0,635.0,3233.0,5506.0,60085.0,16747.0,36983.0,6355.0,2013,269.0
40,Prescott,40752.0,124.0,0.0,7.0,11.0,106.0,1085.0,182.0,855.0,48.0,2013,4.0
41,Prescott,39209.0,82.0,0.0,6.0,6.0,70.0,751.0,109.0,612.0,30.0,2013,3.0
43,Sahuarita,26535.0,17.0,0.0,2.0,1.0,14.0,349.0,37.0,304.0,8.0,2013,2.0
45,Scottsdale,225523.0,337.0,4.0,37.0,101.0,195.0,5766.0,1093.0,4465.0,208.0,2013,15.0
46,Sedona,10036.0,20.0,0.0,6.0,1.0,13.0,217.0,41.0,171.0,5.0,2013,1.0
47,Show Low,10732.0,125.0,0.0,6.0,6.0,113.0,577.0,73.0,494.0,10.0,2013,2.0
49,Somerton,15014.0,15.0,0.0,0.0,1.0,14.0,187.0,48.0,119.0,20.0,2013,0.0
53,Surprise,122497.0,149.0,0.0,14.0,49.0,86.0,2120.0,402.0,1572.0,146.0,2013,6.0
54,Tempe,168501.0,831.0,3.0,62.0,224.0,542.0,7876.0,1276.0,6113.0,487.0,2013,44.0
57,Tucson,525486.0,3368.0,47.0,216.0,1002.0,2103.0,34587.0,4957.0,27440.0,2190.0,2013,151.0
